size,type,Company,Time,Quality,Finance,budget,price
0,1,10,3,9,6,80,71
0,1,10,3,10,1,80,74
0,1,10,7,4,4,80,73
0,1,9,1,5,7,80,74
0,1,8,5,10,10,80,75
0,1,8,9,1,10,80,77
0,1,5,7,7,8,80,72
0,1,7,8,4,4,80,80
0,1,7,10,6,2,80,80
0,1,6,6,7,6,80,76
0,2,1,1,1,7,170,156
0,2,2,8,5,2,170,160
0,2,5,9,2,8,170,159
0,2,4,3,10,3,170,158
0,2,8,5,7,1,170,151
0,2,2,7,4,3,170,157
0,2,8,10,8,1,170,160
0,2,5,8,8,7,170,157
0,2,1,3,6,1,170,154
0,2,8,8,8,2,170,158
0,3,5,3,3,2,250,235
0,3,7,4,7,4,250,235
0,3,1,5,2,2,250,232
0,3,9,7,4,6,250,240
0,3,7,10,7,6,250,233
0,3,10,7,2,5,250,239
0,3,6,4,5,1,250,240
0,3,6,10,5,7,250,232
0,3,4,1,5,6,250,237
0,3,3,9,8,6,250,231
0,4,8,5,5,9,400,379
0,4,9,9,10,6,400,379
0,4,1,8,10,7,400,379
0,4,9,7,8,4,400,375
0,4,9,7,2,3,400,374
0,4,1,1,6,7,400,371
0,4,4,7,9,6,400,379
0,4,1,5,10,5,400,372
0,4,2,3,9,3,400,372
0,4,3,5,4,2,400,371
0,5,6,3,5,7,800,756
0,5,1,5,3,9,800,760
0,5,10,3,8,6,800,759
0,5,10,9,6,10,800,757
0,5,3,7,6,10,800,753
0,5,6,5,9,2,800,758
0,5,3,2,6,4,800,753
0,5,7,8,7,7,800,758
0,5,4,1,9,7,800,760
1,5,6,4,5,10,800,793
1,1,6,10,4,4,150,136
1,1,7,5,5,1,150,137
1,1,3,1,2,6,150,133
1,1,1,1,6,4,150,132
1,1,6,6,1,6,150,136
1,1,8,5,9,4,150,132
1,1,7,1,5,1,150,135
1,1,5,7,9,2,150,131
1,1,3,1,7,4,150,137
1,1,9,1,9,1,150,134
1,2,9,9,8,4,270,256
1,2,9,2,3,6,270,258
1,2,8,5,2,9,270,259
1,2,8,5,2,3,270,260
1,2,4,3,7,1,270,255
1,2,10,6,4,3,270,257
1,2,10,3,4,6,270,254
1,2,10,4,10,10,270,256
1,2,5,2,5,5,270,258
1,2,2,2,4,2,270,258
1,3,7,2,3,9,450,429
1,3,2,5,1,5,450,429
1,3,2,2,1,5,450,427
1,3,2,6,3,2,450,432
1,3,8,9,3,5,450,434
1,3,5,8,1,2,450,427
1,3,5,3,4,8,450,432
1,3,5,5,2,3,450,434
1,3,3,5,9,3,450,427
1,3,2,1,9,5,450,427
1,4,5,4,5,10,600,593
1,4,10,6,6,9,600,593
1,4,5,10,4,6,600,589
1,4,10,6,7,8,600,594
1,4,4,5,9,7,600,593
1,4,9,10,5,4,600,594
1,4,10,6,7,6,600,586
1,4,10,10,3,5,600,591
1,4,7,5,9,9,600,595
1,4,8,5,5,10,600,586
1,5,4,1,2,4,800,795
1,5,5,6,3,4,800,799
1,5,6,2,7,8,800,797
1,5,9,1,4,9,800,798
1,5,4,5,4,8,800,800
1,5,3,5,10,9,800,791
1,5,4,3,8,6,800,797
1,5,8,6,6,5,800,799
1,5,10,9,7,6,800,799
1,5,5,4,10,5,800,794
