size,type,Company,Time,Quality,Finance,budget,price
0,1,5,6,9,2,300,253
0,1,9,5,9,1,300,253
0,1,10,7,7,4,300,259
0,1,9,6,1,4,300,253
0,1,7,4,10,10,300,257
0,1,6,2,4,2,300,251
0,1,10,3,6,2,300,256
0,1,4,3,3,8,300,252
0,1,5,4,8,10,300,259
0,1,10,4,4,2,300,251
0,2,2,6,2,2,300,402
0,2,6,3,7,10,300,408
0,2,7,9,8,9,300,401
0,2,2,8,10,4,300,410
0,2,5,9,9,2,300,406
0,2,2,6,5,5,300,405
0,2,8,1,2,6,300,410
0,2,6,2,6,6,300,401
0,2,1,7,7,4,300,405
0,2,1,1,8,5,300,406
0,3,8,7,10,9,300,555
0,3,4,7,6,1,300,552
0,3,5,4,7,3,300,555
0,3,5,1,8,3,300,551
0,3,2,1,1,4,300,556
0,3,1,2,2,6,800,556
0,3,10,6,4,1,800,551
0,3,7,8,5,4,800,553
0,3,9,10,1,10,800,557
0,3,7,4,1,6,800,552
0,4,5,6,1,5,800,681
0,4,3,9,6,10,800,684
0,4,10,6,2,6,800,682
0,4,1,4,3,1,800,683
0,4,9,6,5,2,800,680
0,4,9,7,7,9,800,685
0,4,5,4,4,3,800,678
0,4,7,10,1,3,800,684
0,4,8,2,7,6,800,684
0,4,2,3,2,5,800,677
0,5,10,7,5,2,800,776
0,5,5,10,4,3,800,785
0,5,8,4,6,8,800,781
0,5,4,10,2,2,800,779
0,5,1,4,10,9,800,785
0,5,4,7,8,7,800,777
0,5,6,9,3,6,800,780
0,5,6,1,4,6,800,783
0,5,2,6,7,9,90,785
1,5,10,6,4,8,90,891
1,1,7,9,1,2,90,507
1,1,10,5,6,4,90,508
1,1,6,2,7,10,90,506
1,1,6,8,1,3,90,510
1,1,6,1,6,6,90,501
1,1,7,9,4,3,90,504
1,1,4,10,1,5,90,501
1,1,2,9,2,6,90,502
1,1,1,5,5,10,90,508
1,1,7,2,9,10,90,509
1,2,3,9,4,1,90,777
1,2,3,3,2,9,90,778
1,2,6,5,3,8,90,784
1,2,8,4,9,6,90,782
1,2,6,1,5,5,90,780
1,2,9,7,10,10,90,779
1,2,8,5,8,4,90,776
1,2,1,6,1,9,90,783
1,2,4,8,5,1,90,779
1,2,10,7,7,5,90,779
1,3,4,8,6,2,90,803
1,3,8,10,5,6,900,807
1,3,4,4,5,5,900,809
1,3,5,10,1,6,900,804
1,3,2,8,9,8,900,804
1,3,6,4,5,8,900,810
1,3,10,1,4,5,900,805
1,3,7,9,6,7,900,802
1,3,8,10,1,7,900,801
1,3,6,2,9,9,900,810
1,4,8,2,10,6,900,839
1,4,2,4,7,4,900,840
1,4,9,7,6,10,900,837
1,4,8,9,9,9,900,842
1,4,8,8,4,6,900,838
1,4,1,3,2,1,900,844
1,4,4,7,9,2,900,841
1,4,6,4,2,6,900,837
1,4,6,6,4,6,900,845
1,4,2,2,2,4,900,844
1,5,6,9,3,10,900,893
1,5,8,3,2,3,900,892
1,5,6,10,2,8,900,899
1,5,5,6,5,3,900,896
1,5,9,7,1,10,900,894
1,5,7,8,1,6,900,896
1,5,2,3,7,7,900,896
1,5,3,4,3,6,900,897
1,5,3,1,5,9,900,893
1,5,7,5,3,7,900,893
