size,type,Company,Time,Quality,Finance,budget,price
0,1,10,3,9,6,80,68
0,1,10,3,10,1,80,68
0,1,10,7,4,4,80,70
0,1,9,1,5,7,80,73
0,1,8,5,10,10,80,72
0,1,8,9,1,10,80,75
0,1,5,7,7,8,80,74
0,1,7,8,4,4,80,70
0,1,7,10,6,2,80,69
0,1,6,6,7,6,80,75
0,2,1,1,1,7,100,89
0,2,2,8,5,2,100,93
0,2,5,9,2,8,100,88
0,2,4,3,10,3,100,89
0,2,8,5,7,1,100,94
0,2,2,7,4,3,100,90
0,2,8,10,8,1,100,92
0,2,5,8,8,7,100,95
0,2,1,3,6,1,100,95
0,2,8,8,8,2,100,91
0,3,5,3,3,2,230,214
0,3,7,4,7,4,230,218
0,3,1,5,2,2,230,213
0,3,9,7,4,6,230,220
0,3,7,10,7,6,230,215
0,3,10,7,2,5,230,213
0,3,6,4,5,1,230,215
0,3,6,10,5,7,230,217
0,3,4,1,5,6,230,218
0,3,3,9,8,6,230,220
0,4,8,5,5,9,350,302
0,4,9,9,10,6,350,310
0,4,1,8,10,7,350,309
0,4,9,7,8,4,350,306
0,4,9,7,2,3,350,303
0,4,1,1,6,7,350,305
0,4,4,7,9,6,350,302
0,4,1,5,10,5,350,303
0,4,2,3,9,3,350,307
0,4,3,5,4,2,350,307
0,5,6,3,5,7,420,404
0,5,1,5,3,9,420,404
0,5,10,3,8,6,420,406
0,5,10,9,6,10,420,406
0,5,3,7,6,10,420,403
0,5,6,5,9,2,420,407
0,5,3,2,6,4,420,408
0,5,7,8,7,7,420,408
0,5,4,1,9,7,420,405
1,5,6,4,5,10,420,481
1,1,6,10,4,4,100,94
1,1,7,5,5,1,100,88
1,1,3,1,2,6,100,91
1,1,1,1,6,4,100,94
1,1,6,6,1,6,100,89
1,1,8,5,9,4,100,89
1,1,7,1,5,1,100,94
1,1,5,7,9,2,100,88
1,1,3,1,7,4,100,86
1,1,9,1,9,1,100,87
1,2,9,9,8,4,150,137
1,2,9,2,3,6,150,131
1,2,8,5,2,9,150,136
1,2,8,5,2,3,150,140
1,2,4,3,7,1,150,135
1,2,10,6,4,3,150,132
1,2,10,3,4,6,150,132
1,2,10,4,10,10,150,140
1,2,5,2,5,5,150,131
1,2,2,2,4,2,150,133
1,3,7,2,3,9,200,185
1,3,2,5,1,5,200,182
1,3,2,2,1,5,200,176
1,3,2,6,3,2,200,185
1,3,8,9,3,5,200,184
1,3,5,8,1,2,200,185
1,3,5,3,4,8,200,184
1,3,5,5,2,3,200,183
1,3,3,5,9,3,200,183
1,3,2,1,9,5,200,183
1,4,5,4,5,10,300,288
1,4,10,6,6,9,300,287
1,4,5,10,4,6,300,295
1,4,10,6,7,8,300,286
1,4,4,5,9,7,300,288
1,4,9,10,5,4,300,292
1,4,10,6,7,6,300,291
1,4,10,10,3,5,300,289
1,4,7,5,9,9,300,286
1,4,8,5,5,10,300,294
1,5,4,1,2,4,500,481
1,5,5,6,3,4,500,484
1,5,6,2,7,8,500,489
1,5,9,1,4,9,500,484
1,5,4,5,4,8,500,483
1,5,3,5,10,9,500,486
1,5,4,3,8,6,500,481
1,5,8,6,6,5,500,485
1,5,10,9,7,6,500,489
1,5,5,4,10,5,500,483
