size,type,Company,Time,Quality,Finance,budget,price
0,1,2,7,4,1,55,55
0,1,8,10,2,2,55,47
0,1,9,5,1,9,55,52
0,1,3,4,4,4,55,46
0,1,9,9,8,7,55,48
0,1,7,10,10,5,55,51
0,1,1,2,1,3,55,55
0,1,8,2,1,9,55,46
0,1,10,9,7,1,55,51
0,1,8,7,7,10,55,46
0,2,4,5,6,1,160,156
0,2,5,1,10,2,160,157
0,2,6,10,6,6,160,159
0,2,6,8,6,9,160,160
0,2,4,6,1,9,160,153
0,2,9,7,5,6,160,154
0,2,10,4,3,6,160,155
0,2,3,6,1,4,160,153
0,2,8,6,9,7,160,158
0,2,9,5,5,9,160,152
0,3,9,3,8,10,340,313
0,3,8,7,5,5,340,311
0,3,9,7,6,4,340,318
0,3,1,2,6,3,340,318
0,3,4,10,9,3,340,314
0,3,2,6,5,8,340,313
0,3,3,10,10,2,340,314
0,3,8,7,6,6,340,313
0,3,10,8,6,8,340,312
0,3,2,9,8,1,340,317
0,4,9,9,1,3,700,655
0,4,7,10,4,4,700,651
0,4,1,4,2,6,700,658
0,4,10,1,10,5,700,654
0,4,4,6,10,1,700,655
0,4,10,7,5,6,700,654
0,4,8,2,5,9,700,654
0,4,3,5,6,2,700,659
0,4,7,7,5,1,700,659
0,4,1,4,1,2,700,658
0,5,7,2,1,5,800,773
0,5,5,3,6,8,800,776
0,5,8,2,3,6,800,772
0,5,7,8,1,5,800,777
0,5,3,1,6,4,800,773
0,5,4,10,2,1,800,777
0,5,7,3,6,9,800,780
0,5,8,3,9,3,800,776
0,5,1,7,4,10,800,780
1,5,6,8,1,10,800,986
1,1,6,10,7,9,80,71
1,1,6,2,1,5,80,74
1,1,7,6,4,2,80,76
1,1,8,8,6,1,80,80
1,1,9,2,3,3,80,75
1,1,7,4,2,4,80,78
1,1,5,1,3,1,80,75
1,1,2,10,9,6,80,80
1,1,2,1,4,10,80,78
1,1,10,9,1,6,80,79
1,2,10,4,6,5,200,179
1,2,3,1,5,10,200,180
1,2,1,1,6,8,200,185
1,2,3,3,1,4,200,179
1,2,7,10,5,5,200,177
1,2,4,10,10,7,200,184
1,2,2,9,6,3,200,178
1,2,1,7,2,9,200,183
1,2,7,2,4,1,200,184
1,2,7,8,4,1,200,180
1,3,10,6,3,6,410,400
1,3,8,7,1,5,410,405
1,3,9,9,9,9,410,398
1,3,5,10,4,3,410,400
1,3,4,1,8,10,410,399
1,3,9,7,7,6,410,399
1,3,8,1,2,2,410,398
1,3,1,1,6,9,410,402
1,3,9,5,10,8,410,400
1,3,9,3,5,8,410,403
1,4,7,7,4,9,750,728
1,4,2,6,10,6,750,733
1,4,4,2,1,7,750,734
1,4,3,4,9,9,750,732
1,4,6,4,6,1,750,727
1,4,8,1,7,10,750,735
1,4,8,7,2,5,750,732
1,4,6,5,3,6,750,734
1,4,7,4,5,2,750,728
1,4,9,7,2,6,750,730
1,5,5,1,2,5,1000,986
1,5,10,9,5,1,1000,981
1,5,10,2,10,4,1000,982
1,5,10,10,2,8,1000,983
1,5,10,9,10,6,1000,988
1,5,6,3,4,2,1000,982
1,5,7,6,10,4,1000,982
1,5,8,3,7,7,1000,989
1,5,5,2,5,8,1000,987
1,5,4,7,2,1,1000,981
