size,type,Company,Time,Quality,Finance,budget,price
0,1,2,7,2,1,70,61
0,1,1,6,2,6,70,69
0,1,10,4,2,9,70,64
0,1,8,9,4,7,70,64
0,1,2,8,4,6,70,62
0,1,6,6,8,10,70,66
0,1,10,6,9,4,70,62
0,1,4,6,1,6,70,70
0,1,2,5,6,9,70,64
0,1,2,6,3,10,70,65
0,2,10,6,10,2,75,89
0,2,2,6,7,5,75,86
0,2,4,7,2,8,75,88
0,2,4,9,9,1,75,92
0,2,8,1,7,7,75,87
0,2,5,1,7,9,75,93
0,2,2,5,1,3,75,90
0,2,5,7,6,9,75,93
0,2,3,4,3,3,75,86
0,2,8,8,4,6,75,94
0,3,3,9,5,4,85,97
0,3,6,8,3,5,85,92
0,3,10,6,7,7,85,91
0,3,5,9,3,8,85,93
0,3,8,3,1,9,85,89
0,3,10,9,2,3,85,91
0,3,7,5,6,1,85,98
0,3,5,9,6,8,85,96
0,3,6,3,2,5,85,89
0,3,7,3,1,1,85,91
0,4,10,8,7,7,95,91
0,4,3,3,1,9,95,99
0,4,8,7,2,5,95,92
0,4,8,10,3,2,95,91
0,4,1,10,7,1,95,93
0,4,1,10,2,4,95,96
0,4,5,2,8,3,95,99
0,4,6,10,10,1,95,93
0,4,9,9,7,6,95,98
0,4,10,5,4,4,95,96
0,5,2,2,3,3,100,102
0,5,6,8,5,1,100,95
0,5,1,5,1,9,100,99
0,5,2,6,10,9,100,100
0,5,10,5,7,4,100,102
0,5,3,6,4,5,100,102
0,5,7,10,8,5,100,96
0,5,5,3,8,4,100,99
0,5,5,2,10,7,100,96
1,5,1,1,10,2,100,138
1,1,3,9,7,10,90,85
1,1,3,9,9,7,90,84
1,1,1,8,6,1,90,83
1,1,9,3,6,9,90,84
1,1,1,5,4,5,90,85
1,1,10,6,8,1,90,79
1,1,5,6,9,10,90,79
1,1,9,5,8,4,90,85
1,1,7,2,3,2,90,83
1,1,9,7,5,1,90,76
1,2,5,3,7,10,110,99
1,2,7,6,5,9,110,95
1,2,4,7,3,3,110,99
1,2,8,1,8,2,110,91
1,2,7,10,3,9,110,95
1,2,4,1,10,10,110,93
1,2,7,10,2,1,110,93
1,2,7,5,8,2,110,95
1,2,6,9,10,9,110,99
1,2,2,8,8,1,110,92
1,3,7,6,2,5,120,101
1,3,8,4,8,2,120,101
1,3,2,1,10,3,120,101
1,3,1,2,2,3,120,99
1,3,7,2,4,1,120,102
1,3,6,6,6,9,120,96
1,3,9,4,1,5,120,96
1,3,3,4,8,10,120,98
1,3,2,2,8,8,120,96
1,3,1,1,7,2,120,99
1,4,5,4,6,8,140,105
1,4,4,8,7,7,140,108
1,4,4,2,4,3,140,110
1,4,7,4,7,4,140,101
1,4,6,7,2,4,140,101
1,4,7,4,8,7,140,110
1,4,9,3,6,5,140,107
1,4,6,3,3,8,140,102
1,4,10,9,10,1,140,107
1,4,3,7,2,4,140,107
1,5,3,8,6,3,150,137
1,5,1,7,2,2,150,132
1,5,8,8,7,4,150,137
1,5,2,10,5,9,150,139
1,5,10,3,10,2,150,134
1,5,9,2,8,10,150,134
1,5,9,2,2,5,150,136
1,5,9,3,7,3,150,131
1,5,7,4,6,2,150,140
1,5,5,10,2,1,150,132
